Data Type - Total Exports by Commodity,Hts Num,Description,Year 1996,Year 1997,Year 1998,Year 1999,Year 2000,Year 2001,Year 2002,Year 2003,Year 2004,Year 2005,Year 2006,Year 2007,Year 2008,Year 2009,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2016,Year 2017,Year 2018,Percent Change 2017 - 2018
FAS Value,29,ORGANIC CHEMICALS,1210949800,1511222840,1420763477,1575907234,2040673506,1861111777,1928901630,2365257707,3318415098,3712157607,4166459828,4796930110,5140828662,4441201279,5019096437,6403857184,7019467357,6697435758,6430066854,4847520623,4535569416,5538624996,6464420213,16.7
FAS Value,42,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES  OF GUT (OTHER THAN SILKWORM GUT)",42732271,43480300,68111543,90776431,132254045,72721581,74049866,76961892,129916031,238214449,265691885,156579823,191528224,122336520,150740163,158337411,197626549,213449205,205413806,231446502,246442078,195241855,271527643,39.1
FAS Value,52,"COTTON, INCLUDING YARNS AND WOVEN FABRICS THEREOF",466715118,598626748,937509605,991838782,1453447405,1226894296,1036855218,1081971361,1208579606,1054435000,947265864,780751806,855840270,761194505,994140355,1331698844,880765925,903649435,931620575,814647515,697927263,779122537,788759939,1.2
FAS Value,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS, OR OTHER PARTS OF PLANTS",44978120,67940707,105139457,108789987,148320942,140010166,147901645,164917723,182423503,227444117,264723296,228939718,261244075,234486165,254074662,322787186,344151605,408397336,418485482,425221322,400924361,416927634,423355434,1.5
FAS Value,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; BAKERS' WARES",56455806,69545398,93390849,88664827,102520326,115946805,127671889,158738723,222685578,278268235,161064841,193275138,197410256,194598053,230813644,266229347,292153865,349231898,380632734,387837590,356833892,340758910,350816608,3.0
FAS Value,71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN",102651813,236747589,365154576,507009857,662347900,506564780,517116972,466879125,613299147,532447197,705926843,720960064,625784248,709789374,858613067,1130449142,1086208782,805868931,763760696,771630235,662537978,591120708,750022016,26.9
FAS Value,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES,113276477,132092249,139681782,154952815,206045497,181571436,181344896,206147621,233257701,276035388,296599937,396615019,373467595,323118256,355393841,397713130,454958331,476584347,510892389,500311926,523966955,544724254,535616118,-1.7
FAS Value,32,"TANNING OR DYEING EXTRACTS; TANNINS AND DERIVATIVES; DYES, PIGMENTS AND OTHER COLORING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",265841414,339986790,423542678,483057987,567489216,528264179,484780059,548406270,601035850,669289002,732345988,682042902,731024154,743142285,882549554,1058378926,1166192082,1201012685,1316817369,1339581860,1319692964,1437222077,1568773074,9.2
FAS Value,74,COPPER AND ARTICLES THEREOF,357775487,448659553,470483265,481074441,720175878,550601153,584533099,606954042,947744450,1137981535,1753096165,1693889632,1609521875,1087846355,1790756119,2019359031,2120925129,2272399263,2208794360,2210456872,2066204466,2411192094,2682267093,11.2
FAS Value,39,PLASTICS AND ARTICLES THEREOF,3550721462,4335604652,4974470264,5669044312,7197761817,6625017597,6688525752,7058495558,8051786508,9342338692,10366835620,10485786571,10698930488,9354462184,11443544637,12672655883,13914008007,15280615950,16438943146,16502734977,16163347864,16644474389,17867388674,7.3
FAS Value,05,"PRODUCTS OF ANIMAL ORIGIN, NESOI",41561466,49695589,55433989,57937831,93020909,194028232,239065628,255308236,237965776,315578782,376777490,429957446,524519267,219940202,115038474,139787401,159074861,187023719,220148141,230677283,208248921,202535608,217174398,7.2
