"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2018","","","","69923.404082"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","A","Annual","A","Annual","USM","Million US dollar","2013","","","","19746.22"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","A","Annual","A","Annual","USM","Million US dollar","2014","","","","23159.356"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","A","Annual","A","Annual","USM","Million US dollar","2015","","","","21040.339138"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","A","Annual","A","Annual","USM","Million US dollar","2016","","","","22766.505486"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","A","Annual","A","Annual","USM","Million US dollar","2017","","","","25337.527145"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","A","Annual","A","Annual","USM","Million US dollar","2018","","","","31299.774656"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","A","Annual","A","Annual","USM","Million US dollar","2013","","","","2937.505"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","A","Annual","A","Annual","USM","Million US dollar","2014","","","","2930.272"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","A","Annual","A","Annual","USM","Million US dollar","2015","","","","3316.602443"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","A","Annual","A","Annual","USM","Million US dollar","2016","","","","3315.935474"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2875.761493"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","A","Annual","A","Annual","USM","Million US dollar","2018","","","","2852.058758"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","A","Annual","A","Annual","USM","Million US dollar","2013","","","","40298.037"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","A","Annual","A","Annual","USM","Million US dollar","2014","","","","38850.63"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","A","Annual","A","Annual","USM","Million US dollar","2015","","","","38865.393815"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","A","Annual","A","Annual","USM","Million US dollar","2016","","","","35500.216212"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","A","Annual","A","Annual","USM","Million US dollar","2017","","","","38755.446235"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","A","Annual","A","Annual","USM","Million US dollar","2018","","","","35771.570668"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","A","Annual","A","Annual","USM","Million US dollar","2013","","","","92191.317"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","A","Annual","A","Annual","USM","Million US dollar","2014","","","","103393.444"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","A","Annual","A","Annual","USM","Million US dollar","2015","","","","107898.779187"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","A","Annual","A","Annual","USM","Million US dollar","2016","","","","105843.533308"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","A","Annual","A","Annual","USM","Million US dollar","2017","","","","119033.070277"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","A","Annual","A","Annual","USM","Million US dollar","2018","","","","134797.334907"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","A","Annual","A","Annual","USM","Million US dollar","2013","","","","2446.199"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","A","Annual","A","Annual","USM","Million US dollar","2014","","","","2548.758"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","A","Annual","A","Annual","USM","Million US dollar","2015","","","","2571.086116"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","A","Annual","A","Annual","USM","Million US dollar","2016","","","","2484.513842"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2645.815511"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","A","Annual","A","Annual","USM","Million US dollar","2018","","","","2815.072461"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2013","","","","60245.067"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2014","","","","52666.495"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2015","","","","32130.906159"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2016","","","","28271.144953"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2017","","","","33908.758662"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2018","","","","42006.251162"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","A","Annual","A","Annual","USM","Million US dollar","2013","","","","48679.797"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","A","Annual","A","Annual","USM","Million US dollar","2014","","","","41572.97"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","A","Annual","A","Annual","USM","Million US dollar","2015","","","","22508.573106"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","A","Annual","A","Annual","USM","Million US dollar","2016","","","","18124.059426"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","A","Annual","A","Annual","USM","Million US dollar","2017","","","","22617.753846"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","A","Annual","A","Annual","USM","Million US dollar","2018","","","","29705.991378"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2013","","","","380015.051"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2014","","","","396911.688"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2015","","","","380550.239"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2016","","","","373948.263"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2017","","","","409432.575"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2018","","","","450684.549"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2019","","","","38297.905"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2017","","","","31674.826"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2018","","","","36068.48"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2016","","","","28730.403"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2014","","","","31101.216"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2015","","","","30606.322"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2013","","","","30954.611"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2015","","","","29874.465"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2013","","","","29814.743"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2014","","","","30414.636"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2016","","","","30538.529"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2017","","","","31437.178"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2018","","","","35054.452"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2019","","","","36014.469"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2019","","","","38513.753"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2018","","","","38705.078"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2017","","","","37108.837"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2016","","","","32213.566"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2015","","","","34505.299"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2014","","","","33221.002"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2013","","","","30895.347"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2014","","","","34569.089"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2013","","","","34943.4"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2015","","","","33889.466"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2018","","","","38444.283"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2016","","","","33383.863"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2017","","","","31732.034"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2019","","","","39086.254"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2019","","","","41855.73"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2017","","","","37540.464"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2016","","","","32694.931"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2018","","","","41835.425"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2015","","","","33182.597"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2013","","","","34164.551"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2014","","","","35259.403"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2013","","","","30935.199"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2015","","","","35470.059"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2016","","","","33338.451"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2017","","","","36516.431"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2019","","","","36309.742"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2018","","","","39399.168"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2014","","","","33997.724"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2014","","","","35700.003"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2018","","","","40672.146"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2019","","","","41483.618"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2017","","","","34624.169"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2016","","","","32454.577"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2015","","","","35963.706"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2013","","","","34510.628"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M08","August","M","Monthly","USM","Million US dollar","2013","","","","33755.103"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M08","August","M","Monthly","USM","Million US dollar","2015","","","","34692.912"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M08","August","M","Monthly","USM","Million US dollar","2017","","","","39624.788"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M08","August","M","Monthly","USM","Million US dollar","2019","","","","40697.755"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M08","August","M","Monthly","USM","Million US dollar","2018","","","","43253.634"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M08","August","M","Monthly","USM","Million US dollar","2014","","","","35476.324"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M08","August","M","Monthly","USM","Million US dollar","2016","","","","35269.651"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2016","","","","35153.516"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2018","","","","39013.81"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2017","","","","36730.804"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2014","","","","34665.504"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2015","","","","34531.529"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2013","","","","31513.619"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2019","","","","38323.804"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2019","","","","42559.637"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2013","","","","36119.903"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2015","","","","36494.357"
